,LocationID,Borough,Zone,address,lat,lon
122,123,Brooklyn,Homecrest,"Homecrest,Brooklyn, New York",40.5861133,-73.9572994
123,124,Queens,Howard Beach,"Howard Beach,Queens, New York",40.6610254,-73.8295605
124,125,Manhattan,Hudson Sq,"Hudson Sq,Manhattan, New York",40.7268035,-74.0079833
125,126,Bronx,Hunts Point,"Hunts Point,Bronx, New York",40.8126008,-73.8840247
126,127,Manhattan,Inwood,"Inwood,Manhattan, New York",40.874856,-73.9287123
127,128,Manhattan,Inwood Hill Park,"Inwood Hill Park,Manhattan, New York",40.8722736,-73.9254271
128,129,Queens,Jackson Heights,"Jackson Heights,Queens, New York",40.7556561,-73.8857755
129,130,Queens,Jamaica,"Jamaica,Queens, New York",40.7017931,-73.807868
130,131,Queens,Jamaica Estates,"Jamaica Estates,Queens, New York",40.7133455,-73.782511
131,132,Queens,JFK Airport,"JFK Airport,Queens, New York",40.6429479,-73.7793734
132,133,Brooklyn,Kensington,"Kensington,Brooklyn, New York",40.6462149,-73.970694
133,134,Queens,Kew Gardens,"Kew Gardens,Queens, New York",40.7139415,-73.830742
134,135,Queens,Kew Gardens Hills,"Kew Gardens Hills,Queens, New York",40.7259897,-73.8207633
135,136,Bronx,Kingsbridge Heights,"Kingsbridge Heights,Bronx, New York",40.8725702,-73.9026619
136,137,Manhattan,Kips Bay,"Kips Bay,Manhattan, New York",40.7395463,-73.9770832
137,138,Queens,LaGuardia Airport,"LaGuardia Airport,Queens, New York",40.7757145,-73.873364
138,139,Queens,Laurelton,"Laurelton,Queens, New York",40.6667703,-73.7515212
139,140,Manhattan,Lenox Hill East,"Lenox Hill East,Manhattan, New York",40.7736428,-73.9608619
140,141,Manhattan,Lenox Hill West,"Lenox Hill West,Manhattan, New York",40.81998,-73.9369224
141,142,Manhattan,Lincoln Square East,"Lincoln Square East,Manhattan, New York",40.764233,-73.963647
142,143,Manhattan,Lincoln Square West,"Lincoln Square West,Manhattan, New York",40.7747751,-73.9853689
143,144,Manhattan,Little Italy/NoLiTa,"Little Italy/NoLiTa,Manhattan, New York",,
144,145,Queens,Long Island City/Hunters Point,"Long Island City/Hunters Point,Queens, New York",40.7415095,-73.9569751
145,146,Queens,Long Island City/Queens Plaza,"Long Island City/Queens Plaza,Queens, New York",,
146,147,Bronx,Longwood,"Longwood,Bronx, New York",40.8162916,-73.8962205
147,148,Manhattan,Lower East Side,"Lower East Side,Manhattan, New York",40.7159357,-73.9868057
148,149,Brooklyn,Madison,"Madison,Brooklyn, New York",43.8184955,-111.7890082
149,150,Brooklyn,Manhattan Beach,"Manhattan Beach,Brooklyn, New York",40.575973,-73.944014
150,151,Manhattan,Manhattan Valley,"Manhattan Valley,Manhattan, New York",40.7997764,-73.9677716
151,152,Manhattan,Manhattanville,"Manhattanville,Manhattan, New York",40.8157775,-73.951554
152,153,Manhattan,Marble Hill,"Marble Hill,Manhattan, New York",40.8762983,-73.9104292
153,154,Brooklyn,Marine Park/Floyd Bennett Field,"Marine Park/Floyd Bennett Field,Brooklyn, New York",,
154,155,Brooklyn,Marine Park/Mill Basin,"Marine Park/Mill Basin,Brooklyn, New York",40.6055793,-73.9341972
155,156,Staten Island,Mariners Harbor,"Mariners Harbor,Staten Island, New York",40.6346459,-74.1666009
156,157,Queens,Maspeth,"Maspeth,Queens, New York",40.723158,-73.912637
157,158,Manhattan,Meatpacking/West Village West,"Meatpacking/West Village West,Manhattan, New York",40.736017,-73.9960577
158,159,Bronx,Melrose South,"Melrose South,Bronx, New York",,
159,160,Queens,Middle Village,"Middle Village,Queens, New York",40.7179844,-73.8788075
160,161,Manhattan,Midtown Center,"Midtown Center,Manhattan, New York",40.7650637,-73.9853191
161,162,Manhattan,Midtown East,"Midtown East,Manhattan, New York",40.7598219,-73.9724708
162,163,Manhattan,Midtown North,"Midtown North,Manhattan, New York",40.7648401,-73.9851723
163,164,Manhattan,Midtown South,"Midtown South,Manhattan, New York",40.7498417,-73.984251
164,165,Brooklyn,Midwood,"Midwood,Brooklyn, New York",40.6188823,-73.9654889
165,166,Manhattan,Morningside Heights,"Morningside Heights,Manhattan, New York",40.806122,-73.9649202
166,167,Bronx,Morrisania/Melrose,"Morrisania/Melrose,Bronx, New York",40.8246247,-73.9116971
167,168,Bronx,Mott Haven/Port Morris,"Mott Haven/Port Morris,Bronx, New York",40.807837,-73.9064249
168,169,Bronx,Mount Hope,"Mount Hope,Bronx, New York",40.8502343,-73.9095104
169,170,Manhattan,Murray Hill,"Murray Hill,Manhattan, New York",40.7481574,-73.97875
170,171,Queens,Murray Hill-Queens,"Murray Hill-Queens,Queens, New York",40.7627097,-73.8146116
171,172,Staten Island,New Dorp/Midland Beach,"New Dorp/Midland Beach,Staten Island, New York",40.5706385,-74.1059598
172,173,Queens,North Corona,"North Corona,Queens, New York",,
173,174,Bronx,Norwood,"Norwood,Bronx, New York",40.8772593,-73.8768626
174,175,Queens,Oakland Gardens,"Oakland Gardens,Queens, New York",40.753991,-73.765966
175,176,Staten Island,Oakwood,"Oakwood,Staten Island, New York",40.5639366,-74.1163373
176,177,Brooklyn,Ocean Hill,"Ocean Hill,Brooklyn, New York",40.6757317,-73.9124338
177,178,Brooklyn,Ocean Parkway South,"Ocean Parkway South,Brooklyn, New York",,
178,179,Queens,Old Astoria,"Old Astoria,Queens, New York",,
179,180,Queens,Ozone Park,"Ozone Park,Queens, New York",40.67677,-73.8437461
180,181,Brooklyn,Park Slope,"Park Slope,Brooklyn, New York",40.6694111,-73.9812722
181,182,Bronx,Parkchester,"Parkchester,Bronx, New York",40.8332047,-73.8609723
182,183,Bronx,Pelham Bay,"Pelham Bay,Bronx, New York",40.8662112,-73.7895774
183,184,Bronx,Pelham Bay Park,"Pelham Bay Park,Bronx, New York",40.852548,-73.827938
184,185,Bronx,Pelham Parkway,"Pelham Parkway,Bronx, New York",40.857229,-73.8676281
185,186,Manhattan,Penn Station/Madison Sq West,"Penn Station/Madison Sq West,Manhattan, New York",,
186,187,Staten Island,Port Richmond,"Port Richmond,Staten Island, New York",40.6311732,-74.1388059
187,188,Brooklyn,Prospect-Lefferts Gardens,"Prospect-Lefferts Gardens,Brooklyn, New York",40.6813072,-73.9618937
188,189,Brooklyn,Prospect Heights,"Prospect Heights,Brooklyn, New York",40.6778708,-73.9684725
189,190,Brooklyn,Prospect Park,"Prospect Park,Brooklyn, New York",40.6617743,-73.971089
190,191,Queens,Queens Village,"Queens Village,Queens, New York",40.7267692,-73.7415208
191,192,Queens,Queensboro Hill,"Queensboro Hill,Queens, New York",40.7429131,-73.825175
192,193,Queens,Queensbridge/Ravenswood,"Queensbridge/Ravenswood,Queens, New York",40.7536307,-73.9233282
193,194,Manhattan,Randalls Island,"Randalls Island,Manhattan, New York",40.7914478,-73.9210237
194,195,Brooklyn,Red Hook,"Red Hook,Brooklyn, New York",40.6790718,-74.0194283
195,196,Queens,Rego Park,"Rego Park,Queens, New York",40.722865,-73.8621025
196,197,Queens,Richmond Hill,"Richmond Hill,Queens, New York",40.6994253,-73.8309672
